"","cell","celltype"
"205","BC03_66","Tcell"
"206","BC03_78","Tcell"
"207","BC03_81","Bcell"
"208","BC03_85","Tcell"
"209","BC03_86","Bcell"
"210","BC03_92","Bcell"
"211","BC03_93","Bcell"
"212","BC03_94","Tcell"
"213","BC03LN_01","Bcell"
"214","BC03LN_04","Bcell"
"215","BC03LN_05","Tumor"
"216","BC03LN_06","Bcell"
"217","BC03LN_10","Bcell"
"218","BC03LN_11","Bcell"
"219","BC03LN_13","Bcell"
"220","BC03LN_14","Bcell"
"221","BC03LN_17","Bcell"
"222","BC03LN_19","Tumor"
"223","BC03LN_20","Bcell"
"224","BC03LN_21","Bcell"
"225","BC03LN_23","Tumor"
"226","BC03LN_25","Tumor"
"227","BC03LN_26","Bcell"
"228","BC03LN_27","Bcell"
"229","BC03LN_28","Tumor"
"230","BC03LN_31","Bcell"
"231","BC03LN_32","Bcell"
"232","BC03LN_34","Bcell"
"233","BC03LN_35","Tumor"
"234","BC03LN_37","Bcell"
"235","BC03LN_38","Bcell"
"236","BC03LN_42","Bcell"
"237","BC03LN_44","Bcell"
"238","BC03LN_47","Tumor"
"239","BC03LN_48","Bcell"
"240","BC03LN_49","Bcell"
"241","BC03LN_50","Bcell"
"242","BC03LN_51","Bcell"
"243","BC03LN_53","Tcell"
"244","BC03LN_56","Tcell"
"245","BC03LN_57","Tumor"
"246","BC03LN_58","Bcell"
"247","BC03LN_61","Tumor"
"248","BC03LN_62","Bcell"
"249","BC03LN_63","Bcell"
"250","BC03LN_64","Bcell"
"251","BC03LN_65","Bcell"
"252","BC03LN_68","Bcell"
"253","BC03LN_69","Bcell"
"254","BC03LN_70","Bcell"
"255","BC03LN_71","Bcell"
"256","BC03LN_72","Bcell"
"257","BC03LN_73","Tcell"
"258","BC03LN_74","Bcell"
"259","BC03LN_78","Tcell"
"260","BC03LN_79","Bcell"
"261","BC03LN_85","Bcell"
"262","BC03LN_89","Tumor"
"263","BC03LN_91","Tcell"
"264","BC03LN_93","Bcell"
"265","BC03LN_95","Bcell"
"266","BC08_01","Stromal"
"267","BC08_04","Stromal"
"268","BC08_06","Tumor"
"269","BC08_08","Tumor"
"270","BC08_10","Myeloid"
"271","BC08_22","Tumor"
"272","BC08_24","Tumor"
"273","BC08_27","Tumor"
"274","BC08_31","Stromal"
"275","BC08_33","Tumor"
"276","BC08_36","Tumor"
"277","BC08_48","Tumor"
"278","BC08_51","Tumor"
"279","BC08_54","Stromal"
"280","BC08_56","Tumor"
"281","BC08_59","Tumor"
"282","BC08_70","Tumor"
"283","BC08_73","Tumor"
"284","BC08_83","Stromal"
"285","BC08_88","Stromal"
"286","BC08_94","Tumor"
"287","BC08_95","Tumor"
"288","BC09_05","Myeloid"
"289","BC09_13","Stromal"
"290","BC09_19","Tcell"
"291","BC09_21","Tcell"
"292","BC09_25","Myeloid"
"293","BC09_29","Myeloid"
"294","BC09_31","Myeloid"
"295","BC09_33","Myeloid"
"296","BC09_34","Myeloid"
"297","BC09_37","Myeloid"
"298","BC09_42","Myeloid"
"299","BC09_44","Tcell"
"300","BC09_45","Myeloid"
"301","BC09_46","Myeloid"
"302","BC09_48","Myeloid"
"303","BC09_49","Tcell"
"304","BC09_50","Myeloid"
"305","BC09_53","Bcell"
"306","BC09_57","Tcell"
"307","BC09_64","Myeloid"
"308","BC09_65","Myeloid"
"309","BC09_70","Stromal"
"310","BC09_83","Myeloid"
"311","BC09_86","Tcell"
"312","BC09_92","Myeloid"
"313","BC09_93","Tcell"
"314","BC09_Re_01","Tcell"
"315","BC09_Re_03","Tcell"
"316","BC09_Re_05","Stromal"
"317","BC09_Re_06","Tcell"
"318","BC09_Re_07","Tcell"
"319","BC09_Re_13","Stromal"
"320","BC09_Re_14","Tcell"
"321","BC09_Re_15","Tcell"
"322","BC09_Re_21","Tcell"
"323","BC09_Re_32","Myeloid"
"324","BC09_Re_37","Tcell"
"325","BC09_Re_39","Tcell"
"326","BC09_Re_41","Tcell"
"327","BC09_Re_43","Tcell"
"328","BC09_Re_44","Myeloid"
"329","BC09_Re_46","Myeloid"
"330","BC09_Re_54","Tcell"
"331","BC09_Re_57","Tcell"
"332","BC09_Re_59","Myeloid"
"333","BC09_Re_60","Tcell"
"334","BC09_Re_61","Bcell"
"335","BC09_Re_62","Tcell"
"336","BC09_Re_66","Tcell"
"337","BC09_Re_74","Tcell"
"338","BC09_Re_80","Myeloid"
"339","BC09_Re_83","Tcell"
"340","BC09_Re_88","Myeloid"
"341","BC09_Re_94","Tcell"
"342","BC09_Re_95","Tcell"
"343","BC10_07","Myeloid"
"344","BC10_09","Tumor"
"345","BC10_16","Tumor"
"346","BC10_20","Stromal"
"347","BC10_43","Myeloid"
"348","BC10_47","Tumor"
"349","BC10_54","Tumor"
"350","BC10_58","Tumor"
"351","BC10_67","Stromal"
"352","BC10_69","Tumor"
