"","cell","x","y","celltype"
"918","C918",3676.66,7575.86,"eL4"
"919","C919",3671.09,11125.43,"eL2_3"
"920","C920",3668.87,13990.13,"eL4"
"921","C921",3687.61,15812.57,"eL2_3"
"922","C922",3686.71,966.54,"HPC"
"923","C923",3681.3,10986.98,"Endo"
"924","C924",3684.46,11422.62,"eL4"
"925","C925",3691.76,621.02,"HPC"
"926","C926",3678.02,4182.56,"Oligo"
"927","C927",3685.8,5726.18,"eL6"
"928","C928",3686.49,5967.82,"eL6"
"929","C929",3698.96,6955.32,"PVALB"
"930","C930",3679.44,9761.02,"eL4"
