"","cell","x","y","celltype"
"459","C459",1963.07,14035.66,"eL2_3"
"460","C460",1952.97,16521.59,"Smc"
"461","C461",1953.5,15950.62,"Reln"
"462","C462",1964.78,4857.39,"eL6"
"463","C463",1962.53,7572.62,"PVALB"
"464","C464",1996.73,14560.77,"eL2_3"
"465","C465",2015.74,6407.14,"eL6"
"466","C466",1999.73,16438.61,"Smc"
"467","C467",2019.57,4516.79,"Oligo"
"468","C468",2048.05,6109.23,"eL6"
"469","C469",2014.68,7034.33,"eL6"
"470","C470",2006.16,10820.87,"eL4"
"471","C471",2017.62,12418.86,"eL2_3"
"472","C472",2013.2,3965.77,"Oligo"
"473","C473",1988.45,11247.53,"Astro"
"474","C474",2029.58,333.63,"HPC"
"475","C475",2023.77,3515.81,"Oligo"
"476","C476",1996.74,11051.48,"eL4"
"477","C477",2039.81,10097,"eL4"
"478","C478",2029.7,12664.19,"Astro"
"479","C479",2009.21,93.38,"HPC"
"480","C480",2033.97,2558.69,"Oligo"
"481","C481",2040.95,1802.15,"HPC"
"482","C482",2083.13,6658.53,"eL6"
"483","C483",2064.05,13094.65,"Reln"
"484","C484",2064.05,16049.49,"Reln"
"485","C485",2057.28,7304.67,"eL4"
"486","C486",2094.11,9801.55,"Endo"
"487","C487",2079.58,5255.06,"eL6"
"488","C488",2080,14962.8,"VIP"
"489","C489",2046.28,2707.22,"Oligo"
"490","C490",2056.94,5397.78,"PVALB"
"491","C491",2071.03,12090.21,"Astro"
"492","C492",2085.06,11471.35,"eL4"
"493","C493",2139.15,16569.27,"Smc"
"494","C494",2085.06,5106.69,"Astro"
"495","C495",2088.17,10450.19,"eL4"
"496","C496",2099.17,7528.23,"PVALB"
"497","C497",2098.89,1306.08,"HPC"
"498","C498",2107.79,8303.71,"Oligo"
"499","C499",2128.17,8596,"Astro"
"500","C500",2170.58,16512.01,"Smc"
"501","C501",2127.65,160.75,"HPC"
"502","C502",2115.54,4953.37,"eL6"
"503","C503",2106.62,5655,"eL6"
"504","C504",2169.83,9329.78,"eL4"
"505","C505",2119.38,14538.73,"eL2_3"
"506","C506",2098.9,7932.75,"Astro"
"507","C507",2123.98,631.29,"HPC"
"508","C508",2144.17,10753.41,"eL4"
"509","C509",2149.51,11258.34,"eL4"
"510","C510",2170.33,38.45,"HPC"
"511","C511",2132.52,3342.77,"Oligo"
"512","C512",2141.14,4034.03,"Astro"
"513","C513",2141.48,5930.73,"VIP"
"514","C514",2162.65,13562.21,"eL2_3"
"515","C515",2153.23,7697.98,"eL5"
"516","C516",2162.73,7246.46,"eL4"
"517","C517",2167.31,9664.67,"eL4"
"518","C518",2177.65,13325.25,"eL2_3"
"519","C519",2169.61,16448.71,"Endo"
"520","C520",2177.05,1161.43,"Astro"
"521","C521",2204.91,8469.15,"eL5"
"522","C522",2184.84,336.8,"HPC"
"523","C523",2170.35,8109.77,"eL5"
"524","C524",2191.41,13072.33,"eL2_3"
"525","C525",2188.75,11692.12,"eL4"
"526","C526",2195.49,16183.7,"Astro"
"527","C527",2200.7,807.1,"HPC"
"528","C528",2216.34,10525.67,"eL4"
"529","C529",2213.46,11054.99,"eL4"
"530","C530",2196.68,13815.02,"Endo"
"531","C531",2222.88,4872.86,"eL6"
"532","C532",2223.58,3603.32,"Oligo"
"533","C533",2239.96,5765.49,"eL6"
"534","C534",2229.11,10279.21,"Astro"
"535","C535",2224.95,3457.65,"Oligo"
"536","C536",2265.19,5625.97,"Astro"
"537","C537",2238.21,9971.02,"eL4"
"538","C538",2250.32,190.13,"HPC"
"539","C539",2266.7,6490.97,"eL6"
"540","C540",2260.88,12821.56,"eL2_3"
"541","C541",2246.35,9809.61,"eL4"
"542","C542",2231.72,15235.49,"Astro"
"543","C543",2264.4,638.44,"HPC"
"544","C544",2262.93,4059.32,"Oligo"
"545","C545",2263.43,5036.87,"eL6"
"546","C546",2236.56,12379,"Oligo"
"547","C547",2343.68,12118.43,"eL2_3"
"548","C548",2281.62,14543.64,"eL2_3"
"549","C549",2295.34,7864.26,"eL5"
"550","C550",2278.45,11441.58,"eL4"
"551","C551",2344.69,12021.01,"Oligo"
"552","C552",2311.22,912.6,"HPC"
"553","C553",2310.24,10996.85,"eL4"
"554","C554",2309.04,11898.14,"eL4"
"555","C555",2306.24,13345.15,"eL2_3"
"556","C556",2319.68,8085.6,"eL5"
"557","C557",2334.35,11713.27,"Astro"
"558","C558",2337.96,6851.59,"Astro"
"559","C559",2326.61,9484.26,"eL5"
"560","C560",2355.15,9010.26,"Astro"
"561","C561",2332.11,10773.39,"eL4"
"562","C562",2308.33,6160.39,"eL6"
"563","C563",2312.09,14132.59,"eL2_3"
"564","C564",2335.94,100.61,"HPC"
"565","C565",2339.9,363.76,"HPC"
"566","C566",2377.55,9256.35,"Astro"
"567","C567",2382.44,508.09,"Astro"
"568","C568",2403.56,9901.89,"PVALB"
"569","C569",2385.33,11469.56,"eL4"
"570","C570",2385.3,3554.78,"Oligo"
"571","C571",2372.74,14310.43,"PVALB"
